"job_id","job_title","company_name","job_country","yearly_salary"
89438,"Data Scientist","JustAnswer LLC","Ukraine","157500"
623936,"Data Scientist","Lyft","Ukraine","157500"
1714656,"Senior Data Scientist","Surprise.com","Ukraine","157500"
217145,"Senior Data Engineer (Azure)","Applaudo Studios","Peru","155500"
25761,"Data Analyst - Remote","CaptivateIQ","","155485"
1370225,"Data Scientist","United States Army","U.S. Virgin Islands","152174"
536395,"Data Engineer - ETL Developer","Verisk","Nepal","147500"
1421510,"Data Engineer","Foursquare","Serbia","147500"
43144,"Senior Data Engineer","Foursquare","Serbia","147500"
1230696,"Senior Data Engineer","dentsu international","Serbia","147500"
683333,"Senior Data Engineer","Applaudo Studios","El Salvador","147500"
217654,"Data Engineer","Talan","Côte d'Ivoire","147500"
74268,"Senior Data Engineer","BitMEX","Hong Kong","147500"
545477,"Data Engineer","Applaudo Studios","El Salvador","147500"
538227,"Senior Data Engineer","Airwallex","Hong Kong","147500"
1448435,"Senior Associate Data Engineer","Publicis Groupe","Mauritius","147500"
557858,"Data Engineering Manager","Wasoko","Kenya","147500"
437466,"QA ML Engineer","SuperAnnotate","Armenia","128682"
1070035,"ENGINEER","United Nations Organization Stabilization Mission in the Democratic Republic of Congo (MONUSCO)","Congo, Democratic Republic of the","117407"
90297,"Senior Engineering Manager - Data - Remote","Correlation One","Guatemala","115000"
337067,"Data Analyst II","Remitly","Nicaragua","111175"
225661,"Lead Software Engineer (Blockchain)","Cere Network","Djibouti","110000"
193948,"Data Analyst - OpenData Europe","Veeva Systems","Macedonia (FYROM)","105000"
123244,"Data Analyst","Montevideo Labs","Uruguay","100500"
293695,"Data Analyst","myAgro","Senegal","100500"
1323425,"Lab System Engineer - Philadelphia United States - Work from Office","Excelra","Jamaica","100000"
493024,"Data Engineer, Analytics & Insights","Augmedix","Bangladesh","97444"
458013,"Data Engineer","AlGooru","Lebanon","96773"
325751,"Associate Data Scientist","KoBold Metals","Zambia","90670"
1318578,"Post-Doctoral Fellow or Associate - Agronomy Data Scientist","CIMMYT","Zimbabwe","90670"
287606,"Data Analyst","HEINEKEN","Cambodia","89204"
311241,"Machine Learning Operations Engineer","DeepIntent","Bosnia and Herzegovina","89100"
22823,"Data Scientist","Management Sciences for Health (MSH)","Uganda","84200"
28041,"Data Scientist","Umniah","Jordan","70000"
418175,"Data Analyst - Research Analysis Specialist (71865)","Minnesota Pollution Control Agency","China","68590"
23796,"Power BI Analyst","Charger Logistics Inc","Honduras","63000"
377681,"Junior Data Analyst","Libertex Group","Montenegro","53014"
110682,"Data Quality engineer","Kanda Software","Kyrgyzstan","52500"
386209,"Ingénieur Big Data","Atos","Algeria","45000"
